,run_id,task_id,acc,FN,FP,count_hal,hallucination
0,1,1,0.9805194805194806,0,8,1,['per:country_of_headquarters']
1,1,2,0.9816311535635562,2,8,2,"['org:countries_of_residence', 'org:countries_of_residence']"
2,1,3,0.9813628421665695,2,4,2,"['org:countries_of_residence', 'org:countries_of_residence']"
3,1,4,0.981610337972167,0,8,2,"['org:countries_of_residence', 'org:countries_of_residence']"
4,1,5,0.9699553390174583,2,6,0,[]
5,1,6,0.8954924874791319,2,10,160,"['per:country_of_headquarters', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_birth', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'org:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_birth', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_birth', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_birth', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'org:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:countryorprovince_of_death', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country']"
6,1,7,0.8896144278606966,2,10,168,"['per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'org:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_birth', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'org:country_of_residence', 'per:country_of_residence', 'org:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country:members', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country', 'per:country']"
7,1,8,0.9049624060150376,2,10,153,"['per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country:members', 'per:country', 'per:country:members', 'per:country', 'per:country:members', 'per:country:members', 'per:country', 'per:country:members', 'per:country:members', 'per:country:members', 'org:statement']"
8,2,1,0.9912280701754386,2,0,0,[]
9,2,2,0.9477124183006536,2,6,2,"['org:opened', 'org:launched']"
