,run_id,task_id,acc,FN,FP,count_hal,hallucination
0,1,1,0.9883116883116884,2,0,0,[]
1,1,2,0.9831006612784717,0,2,4,"['per:top_members/employees', 'org:country_of_residence', 'org:countries_of_residence', 'org:country_of_residence']"
2,1,3,0.9860221316249272,4,4,2,"['org:country_of_residence', 'org:country_of_residence']"
3,1,4,0.9771371769383698,0,4,2,"['per:top_members/employees', 'per:top_members/employees']"
4,1,5,0.9667072675598863,2,4,1,['org:date_of_birth']
5,1,6,0.9449081803005008,0,6,9,"['org:date_of_birth', 'per:political/religious_affiliation', 'per:political/religious_affiliation', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence']"
6,1,7,0.9496268656716418,0,8,10,"['org:date_of_birth', 'per:country_of_residence', 'per:top_members/employees', 'per:country_of_birth', 'per:top_members/employees', 'org:country_of_residence', 'per:top_members/employees', 'per:top_members/employees', 'per:country_of_residence', 'per:country_of_birth']"
7,1,8,0.9482706766917294,0,6,10,"['per:country_of_residence', 'per:top_members/employees', 'per:top_members/employees', 'per:top_members/employees', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'org:country_of_residence', 'per:country_of_residence', 'per:country_of_residence']"
8,2,1,0.9890350877192983,2,2,0,[]
9,2,2,0.9503267973856209,2,34,0,[]
10,2,3,0.8715432649420161,26,24,2,"['per:city_of_residence', 'per:city_of_residence']"
11,2,4,0.885208452312964,4,4,6,"['per:date', 'per:country_of_residence', 'per:country_of_residence', 'per:countryorprovinces_of_residence', 'per:countryorprovinces_of_residence', 'per:country_of_residence']"
12,2,5,0.8548530721282279,6,4,0,[]
13,2,6,0.811026936026936,18,2,4,"['per:city_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'defender']"
14,2,7,0.8376230128690386,22,2,1,['per:countryorprovinces_of_residence']
15,2,8,0.9055639097744361,10,4,3,"['per:city_of_residence', 'org:countries_of_residence', 'per:countryorprovinces_of_residence']"
16,3,1,0.9894736842105263,0,0,0,[]
17,3,2,0.9165507649513213,0,54,2,"['org:cities_of_residence', 'org:stateorprovince_of_death']"
18,3,3,0.9328743545611016,0,30,6,"['org:cities_of_residence', 'org:stateorprovince_of_death', 'org:cities_of_residence', 'org:cities_of_residence', 'org:countries_of_residence', 'org:founded']"
19,3,4,0.9462242562929062,14,2,2,"['org:stateorprovince_of_death', 'org:stateorprovince_of_death']"
20,3,5,0.9415094339622642,0,4,2,"['per:top_members/employees', 'per:top_members/employees']"
21,3,6,0.8720300125052105,22,2,1,['org:stateorprovince_of_death']
22,3,7,0.8729652090647941,6,12,4,"['per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:magazine_of_birth']"
23,3,8,0.8929323308270677,6,10,4,"['per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:magazine_of_birth']"
24,4,1,0.9896551724137931,4,4,0,[]
25,4,2,0.9797904191616766,4,4,0,[]
26,4,3,0.9618991793669402,6,6,0,[]
27,4,4,0.9271493212669684,14,0,2,"['org:countries_of_residence', 'org:countries_of_residence']"
28,4,5,0.9104312569111684,4,12,2,"['org:countries_of_residence', 'org:countries_of_residence']"
29,4,6,0.8997280761386812,2,14,1,['org:countries_of_residence']
30,4,7,0.9027346177750155,4,6,1,['org:countries_of_residence']
31,4,8,0.8893233082706767,4,6,1,['per:city_of_headquarters']
32,5,1,0.9103448275862069,6,0,0,[]
33,5,2,0.9762140733399405,2,2,0,[]
34,5,3,0.9633217993079585,2,2,0,[]
35,5,4,0.9189526184538653,16,2,3,"['per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence']"
36,5,5,0.9308211473565804,6,2,8,"['per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:country_of_residence', 'per:religious_affiliation', 'per:country_of_residence', 'per:country_of_residence']"
37,5,6,0.9190549961270333,16,0,2,"['per:religious_affiliation', 'org:top_members/employees -----']"
38,5,7,0.9164955509924709,16,0,0,[]
39,5,8,0.9221052631578948,22,0,8,"['per:country_of_residence', 'per:country_of_residence', 'org:city_of_residence', 'per:religious_affiliation', 'per:country_of_residence', 'per:city_of_residence', 'per:country_of_residence', 'per:country_of_residence']"
